Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Send email when quantity is below this level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
11;13285;Rozmiar:select:0;30x40 cm:0;weimar-circles-no2-plakat-30x40-cm;weimar-circles-no2-plakat-30x40-cm;;;;24.390244;0;100;1;0;0;0.1;0;;1;http://localhost/images/13285_2.jpg; – Graficzny plakat z kształtami w kolorze czarnym, brązowym i szarym na beżowym tle;0;0;0;0
11;13285;Rozmiar:select:0;50x70 cm:0;weimar-circles-no2-plakat-50x70-cm;weimar-circles-no2-plakat-50x70-cm;;;;65.040651;0;100;1;0;0;0.2;0;;1;http://localhost/images/13285_2.jpg; – Graficzny plakat z kształtami w kolorze czarnym, brązowym i szarym na beżowym tle;0;0;0;0
11;13285;Rozmiar:select:0;70x100 cm:0;weimar-circles-no2-plakat-70x100-cm;weimar-circles-no2-plakat-70x100-cm;;;;97.560976;0;100;1;0;0;0.3;0;;1;http://localhost/images/13285_2.jpg; – Graficzny plakat z kształtami w kolorze czarnym, brązowym i szarym na beżowym tle;0;0;0;0
12;13293;Rozmiar:select:0;21x30 cm:0;berlin-arches-no2-plakat-21x30-cm;berlin-arches-no2-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/13293_2.jpg; – Abstrakcyjny łuk z linii w kolorze czarnym, z czarnym kształtem na dole, na beżowym tle;0;0;0;0
12;13293;Rozmiar:select:0;30x40 cm:0;berlin-arches-no2-plakat-30x40-cm;berlin-arches-no2-plakat-30x40-cm;;;;24.390244;0;100;1;0;0;0.1;0;;1;http://localhost/images/13293_2.jpg; – Abstrakcyjny łuk z linii w kolorze czarnym, z czarnym kształtem na dole, na beżowym tle;0;0;0;0
12;13293;Rozmiar:select:0;50x70 cm:0;berlin-arches-no2-plakat-50x70-cm;berlin-arches-no2-plakat-50x70-cm;;;;65.040651;0;100;1;0;0;0.2;0;;1;http://localhost/images/13293_2.jpg; – Abstrakcyjny łuk z linii w kolorze czarnym, z czarnym kształtem na dole, na beżowym tle;0;0;0;0
12;13293;Rozmiar:select:0;70x100 cm:0;berlin-arches-no2-plakat-70x100-cm;berlin-arches-no2-plakat-70x100-cm;;;;97.560976;0;100;1;0;0;0.3;0;;1;http://localhost/images/13293_2.jpg; – Abstrakcyjny łuk z linii w kolorze czarnym, z czarnym kształtem na dole, na beżowym tle;0;0;0;0
13;11339;Rozmiar:select:0;21x30 cm:0;smoking-in-paris-plakat-21x30-cm;smoking-in-paris-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/11339_2.jpg; – Czarno-białe zdjęcie kobiety w zbyt dużej koszuli, palącej papierosa w oknie;0;0;0;0
13;11339;Rozmiar:select:0;30x40 cm:0;smoking-in-paris-plakat-30x40-cm;smoking-in-paris-plakat-30x40-cm;;;;24.390244;0;100;1;0;0;0.1;0;;1;http://localhost/images/11339_2.jpg; – Czarno-białe zdjęcie kobiety w zbyt dużej koszuli, palącej papierosa w oknie;0;0;0;0
13;11339;Rozmiar:select:0;40x50 cm:0;smoking-in-paris-plakat-40x50-cm;smoking-in-paris-plakat-40x50-cm;;;;40.650407;0;100;1;0;0;0.2;0;;1;http://localhost/images/11339_2.jpg; – Czarno-białe zdjęcie kobiety w zbyt dużej koszuli, palącej papierosa w oknie;0;0;0;0
13;11339;Rozmiar:select:0;50x70 cm:0;smoking-in-paris-plakat-50x70-cm;smoking-in-paris-plakat-50x70-cm;;;;65.040651;0;100;1;0;0;0.3;0;;1;http://localhost/images/11339_2.jpg; – Czarno-białe zdjęcie kobiety w zbyt dużej koszuli, palącej papierosa w oknie;0;0;0;0
13;11339;Rozmiar:select:0;70x100 cm:0;smoking-in-paris-plakat-70x100-cm;smoking-in-paris-plakat-70x100-cm;;;;97.560976;0;100;1;0;0;0.4;0;;1;http://localhost/images/11339_2.jpg; – Czarno-białe zdjęcie kobiety w zbyt dużej koszuli, palącej papierosa w oknie;0;0;0;0
13;11339;Rozmiar:select:0;100x150 cm:0;smoking-in-paris-plakat-100x150-cm;smoking-in-paris-plakat-100x150-cm;;;;284.552846;0;100;1;0;0;0.5;0;;1;http://localhost/images/11339_2.jpg; – Czarno-białe zdjęcie kobiety w zbyt dużej koszuli, palącej papierosa w oknie;0;0;0;0
14;10988;Rozmiar:select:0;21x30 cm:0;coral-sunset-peony-plakat-21x30-cm;coral-sunset-peony-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/10988_2.jpg; – Zbliżenie białej i różowej piwonii w pełnym rozkwicie;0;0;0;0
14;10988;Rozmiar:select:0;30x40 cm:0;coral-sunset-peony-plakat-30x40-cm;coral-sunset-peony-plakat-30x40-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;http://localhost/images/10988_2.jpg; – Zbliżenie białej i różowej piwonii w pełnym rozkwicie;0;0;0;0
14;10988;Rozmiar:select:0;40x50 cm:0;coral-sunset-peony-plakat-40x50-cm;coral-sunset-peony-plakat-40x50-cm;;;;32.520326;0;100;1;0;0;0.2;0;;1;http://localhost/images/10988_2.jpg; – Zbliżenie białej i różowej piwonii w pełnym rozkwicie;0;0;0;0
14;10988;Rozmiar:select:0;50x70 cm:0;coral-sunset-peony-plakat-50x70-cm;coral-sunset-peony-plakat-50x70-cm;;;;56.910569;0;100;1;0;0;0.3;0;;1;http://localhost/images/10988_2.jpg; – Zbliżenie białej i różowej piwonii w pełnym rozkwicie;0;0;0;0
